id,title,release_date,popularity,vote_average,vote_count,original_language,genre_ids,overview
1214361,Bad Men Must Bleed,2026-03-12,33.3165,0.0,0,en,"[37, 80, 53]","After a young girl’s family is brutally murdered by ruthless outlaw Harrison Griggs, she forms an unlikely bond with a haunted Civil War veteran turned fugitive known as 'The Butcher'. Together, they must stop Griggs and his gang before he seizes control of the town."
1651233,Son-in-Law,2026-04-18,36.1276,5.125,8,es,"[35, 18]","José Sánchez has big ambitions, terrible instincts, and a mustache to match. After a string of bad deals, he accidentally bluffs his way into becoming El Serpiente, a political boss feared for all the wrong reasons. Now he must pull off one final deal to stay alive — a deal far beyond anything he can fake."
1270125,Monster on a Plane,2024-11-07,36.9946,4.6,40,en,"[27, 35]",An exotic animal turns into a monster and becomes a deadly danger for all passengers.
1010581,My Fault,2023-06-08,42.2176,7.742,4049,es,"[18, 10749, 53]","Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning."
1476740,Influencers,2025-07-26,42.8381,6.518,82,en,"[27, 53]","In the picturesque landscapes of Southern France, a young woman's chilling fascination with murder and identity theft sends her life into a whirlwind of chaos."
1038392,The Conjuring: Last Rites,2025-09-03,39.8125,6.881,1781,en,[27],Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.
1083612,The Boy in the Woods,2023-09-19,15.2378,6.87,46,en,"[18, 10752, 36]","The remarkable true-life survival story of a Jewish boy hiding and being hunted in the forests of Nazi-occupied Eastern Europe, based on Maxwell Smart's memoir."
42832,The Boys,1997-12-12,14.3923,6.145,31,fr,[35],"Every Monday evening, at the arena, eleven men get together to lovingly put on the jersey of the Boys, the hockey team of a ""garage"" league to which they belong.  As Stan, their revered trainer, would affectionately say, they have the ""puck"" tattooed on their hearts. It doesn't matter if they are lawyers, policemen, mechanics or unemployed, as soon as they enter the locker room, everyone forgets their age, their work and their problems."
25221,For the Boys,1991-11-22,14.9226,6.284,81,en,"[18, 10402, 35, 10752]",Talented USO entertainer Dixie Leonard and comedian Eddie Sparks deal with their relationship over the course of 5 decades from World War II to the Vietnam War era to their twilight era in the 90's.
1304313,Lee Cronin's The Mummy,2026-04-15,38.2251,6.712,189,en,"[27, 9648]","The young daughter of a journalist disappears into the desert without a trace—eight years later, the broken family is shocked when she is returned to them, as what should be a joyful reunion turns into a living nightmare."
